STRUCTURE,CLUSTER,DOMAIN,TITLE
left_accumbens,1,REWARD,Reward
left_frontal_medial_cortex,1,REWARD,Reward
left_subcallosal_cortex,1,REWARD,Reward
right_accumbens,1,REWARD,Reward
right_frontal_medial_cortex,1,REWARD,Reward
right_subcallosal_cortex,1,REWARD,Reward
left_cuneal_cortex,2,VISION,Vision
left_inferior_temporal_gyrus_temporooccipital_part,2,VISION,Vision
left_intracalcarine_cortex,2,VISION,Vision
left_lateral_occipital_cortex_inferior_division,2,VISION,Vision
left_lingual_gyrus,2,VISION,Vision
left_middle_temporal_gyrus_temporooccipital_part,2,VISION,Vision
left_occipital_fusiform_gyrus,2,VISION,Vision
left_occipital_pole,2,VISION,Vision
left_precuneous_cortex,2,VISION,Vision
left_supracalcarine_cortex,2,VISION,Vision
left_temporal_occipital_fusiform_cortex,2,VISION,Vision
right_cuneal_cortex,2,VISION,Vision
right_inferior_temporal_gyrus_temporooccipital_part,2,VISION,Vision
right_intracalcarine_cortex,2,VISION,Vision
right_lateral_occipital_cortex_inferior_division,2,VISION,Vision
right_lateral_occipital_cortex_superior_division,2,VISION,Vision
right_lingual_gyrus,2,VISION,Vision
right_middle_temporal_gyrus_temporooccipital_part,2,VISION,Vision
right_occipital_fusiform_gyrus,2,VISION,Vision
right_occipital_pole,2,VISION,Vision
right_precuneous_cortex,2,VISION,Vision
right_supracalcarine_cortex,2,VISION,Vision
right_temporal_occipital_fusiform_cortex,2,VISION,Vision
left_central_opercular_cortex,3,LANGUAGE,Language
left_heschls_gyrus,3,LANGUAGE,Language
left_parietal_operculum_cortex,3,LANGUAGE,Language
left_planum_polare,3,LANGUAGE,Language
left_planum_temporale,3,LANGUAGE,Language
left_superior_temporal_gyrus_anterior_division,3,LANGUAGE,Language
left_superior_temporal_gyrus_posterior_division,3,LANGUAGE,Language
left_temporal_pole,3,LANGUAGE,Language
right_central_opercular_cortex,3,LANGUAGE,Language
right_heschls_gyrus,3,LANGUAGE,Language
right_middle_temporal_gyrus_posterior_division,3,LANGUAGE,Language
right_parietal_operculum_cortex,3,LANGUAGE,Language
right_planum_polare,3,LANGUAGE,Language
right_planum_temporale,3,LANGUAGE,Language
right_superior_temporal_gyrus_anterior_division,3,LANGUAGE,Language
right_superior_temporal_gyrus_posterior_division,3,LANGUAGE,Language
left_brainstem,4,AROUSAL,Arousal
